cycle,time_point,kinetic_energy,potential_energy,total_energy,energy_rate_of_change,cumulative_energy_loss
5,13.5951947292,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.6456997797,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.6962048302,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.7467098807,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.7972149312,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.8477199817,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.8982250322,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.9487300827,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,13.9992351333,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,14.0497401838,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,14.1002452343,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,14.1507502848,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,14.2012553353,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,14.2517603858,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,14.3022654363,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,14.3527704868,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,14.4032755373,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,14.4537805878,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,14.5042856383,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,14.5547906888,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,14.6052957393,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,14.6538283447,602.0205537209,401.3470358139,1003.3675895348,0.0000000000,5.0281657421
5,14.7043333952,602.8703285786,401.9135523857,1004.7838809643,28.0425703038,5.0281657421
5,14.7548384457,602.8703285786,401.9135523857,1004.7838809643,0.0000000000,5.0281657421
5,14.8053434962,602.8703285786,401.9135523857,1004.7838809643,0.0000000000,5.0281657421
5,14.8558485467,602.8703285786,401.9135523857,1004.7838809643,0.0000000000,5.0281657421
5,14.9063535973,602.8703285786,401.9135523857,1004.7838809643,0.0000000000,5.0281657421
5,14.9568586478,602.8703285786,401.9135523857,1004.7838809643,0.0000000000,5.0281657421
5,15.0073636983,602.8703285786,401.9135523857,1004.7838809643,0.0000000000,5.0281657421
5,15.0578687488,602.8703285786,401.9135523857,1004.7838809643,0.0000000000,5.0281657421
5,15.1083737993,602.8703285786,401.9135523857,1004.7838809643,0.0000000000,5.0281657421
